Interaction_ID,User_ID,Appliance_ID,Home_Appliance,Category,Event_Type,User_Rating_Given,Purchased,Interaction_Date,Session_Duration_sec,Company,Country,Smart_Feature,WiFi_Connectivity,Voice_Control,App_Control,Energy_Rating,Annual_Energy_Consumption_kWh,Power_Consumption_Watts,Price_INR,Budget_Segment,Warranty_Years,Noise_Level_Category,Noise_Level_dB,Weight_kg,Suitable_Room,Installation_Required,Portable,Child_Lock,Auto_Shutoff,Timer_Function,Inverter_Technology,Color,Material,Size_Category,Remote_Control,Touch_Control,Display_Type,Connectivity,Power_Source,Certifications,User_Rating,Number_of_Reviews,Recommended_For,Maintenance_Level,Lifespan_Years,Eco_Friendly,Made_in_India,After_Sales_Service,Availability,Age_Group,Gender,Occupation,City,Home_Type,Budget_Preference,Smart_Home_Interest,Eco_Conscious,Preferred_Category
11,U0763,1039,Sump Pump,Outdoor,add_to_cart,,0,2024-01-28,,Kirloskar,India,Yes,Yes,Yes,Yes,D,2719.0,1785,3300,Mid-Range,3,Loud (56-70 dB),78,53.1,Garage,Yes,No,Yes,Yes,Yes,Yes,Grey,Cast Iron,Compact,Yes,Yes,,,Electric,CE,4.4,95728,Pool Owners,High,20,No,Yes,Average,Online Only,26-35,Male,Working Professional,Chennai,Independent House,Mid-Range,No,Yes,Outdoor
12,U1577,3031,Water Dispenser,Kitchen,add_to_cart,,0,2024-06-27,,De'Longhi,Italy,Yes,Yes,No,No,A+++,758.7,749,12300,Mid-Range,3,Loud (56-70 dB),48,26.7,Kitchen,No,No,Yes,Yes,Yes,Yes,Gold,Stainless Steel,Small,No,Yes,Digital,,Electric,ISI,3.4,42166,Families,High,18,Yes,No,Poor,Metro Cities,26-35,Male,Working Professional,Bangalore,Apartment,Mid-Range,Yes,No,Hobby
13,U0896,1644,Basement Dehumidifier,Outdoor,view,,0,2024-12-01,12.0,Texmo,India,Yes,Yes,No,Yes,C,4593.8,3023,74400,Luxury,4,Ultra Silent (<30 dB),41,56.2,Basement,Yes,No,No,No,No,No,Stainless Steel,Plastic,Compact,No,Yes,,Bluetooth,Electric,ISI+BIS,3.1,25869,Homeowners,Medium,4,No,Yes,Average,Select Cities,26-35,Male,Business Owner,Jaipur,PG/Hostel,Luxury,Yes,No,Networking
14,U1869,27,Pet Feeder,Pet,view,,0,2024-12-18,21.0,Eheim,Germany,Yes,Yes,Yes,No,C,38.5,92,5000,Mid-Range,3,Moderate (41-55 dB),30,89.5,Any,No,No,No,Yes,No,No,Gold,ABS Plastic,Extra Large,Yes,Yes,,Zigbee,Electric,ISI,5.0,40036,Pet Owners,High,5,Yes,No,Good,Metro Cities,46-55,Male,Working Professional,Bangalore,Independent House,Mid-Range,No,Yes,Entertainment
15,U1642,1085,Bottle Sterilizer,Kitchen,view,,0,2024-07-05,45.0,De'Longhi,Italy,Yes,Yes,No,Yes,D,4261.1,1765,8500,Mid-Range,4,Ultra Silent (<30 dB),61,26.1,Kitchen,No,No,Yes,Yes,Yes,No,Gold,Glass,Large,Yes,Yes,LCD,Zigbee,Electric,Energy Star,3.5,37756,Bachelors,Medium,14,No,No,Good,Pan India,18-25,Female,Working Professional,Hyderabad,Independent House,Mid-Range,Yes,Yes,Security
16,U1982,4606,Smart Vacuum,Cleaning,purchase,4.4,1,2023-04-02,,Philips,Netherlands,Yes,No,No,No,B,2121.9,1248,21400,Premium,4,Moderate (41-55 dB),70,86.0,Kitchen,No,No,No,No,No,Yes,Red,Glass,Medium,No,Yes,,,Electric,BIS+ISI,4.8,88723,Bachelors,Low,10,No,No,Poor,Select Cities,55+,Female,Working Professional,Ahmedabad,PG/Hostel,Premium,No,No,Bathroom
17,U0271,2698,Mini Fridge,Kitchen,view,,0,2024-09-30,219.0,Samsung,South Korea,No,No,No,No,C,4332.6,1831,5800,Mid-Range,4,Moderate (41-55 dB),31,0.5,Kitchen,No,Yes,Yes,Yes,Yes,No,White,Plastic,Extra Large,No,Yes,Digital,,Electric,ISI,4.5,73103,Couples,Low,14,No,No,Poor,Select Cities,46-55,Male,Student,Chennai,PG/Hostel,Mid-Range,No,No,Pet
18,U1008,4498,Landline Phone,Smart Home,view,,0,2024-05-16,219.0,Wipro,India,Yes,Yes,Yes,Yes,B,80.1,42,4800,Mid-Range,1,Very Loud (>70 dB),71,38.0,Living Room,No,No,No,Yes,No,No,Stainless Steel,Stainless Steel,Small,Yes,Yes,,,Dual,CE+RoHS,4.1,99893,Tech Enthusiasts,High,13,No,Yes,Poor,Select Cities,36-45,Female,Working Professional,Kolkata,Apartment,Mid-Range,Yes,No,Laundry
19,U1516,4268,Smart TV,Entertainment,view,,0,2023-07-24,182.0,Harman,United States,Yes,Yes,Yes,Yes,A+++,748.2,346,13500,Mid-Range,2,Moderate (41-55 dB),26,88.2,Bedroom,No,No,No,No,Yes,No,Rose Gold,Glass,Extra Large,Yes,Yes,LED,WiFi,Electric,ISI+BIS,2.8,43131,Bachelors,High,17,Yes,No,Average,Pan India,26-35,Female,Working Professional,Bangalore,Independent House,Mid-Range,Yes,No,Laundry
20,U0621,4037,Meat Grinder,Kitchen,purchase,2.0,1,2024-03-07,,Havells,India,No,No,No,No,A,4971.6,2606,44200,Premium,2,Silent (30-40 dB),52,53.4,Kitchen,No,No,Yes,Yes,Yes,Yes,Gold,ABS Plastic,Medium,Yes,No,Digital,,Electric,CE,2.5,30200,Bachelors,Medium,17,No,Yes,Poor,Select Cities,26-35,Female,Business Owner,Mumbai,Apartment,Premium,Yes,No,Entertainment
21,U1876,4907,Air Cooler,Climate,add_to_cart,,0,2024-09-19,,Philips,Netherlands,No,No,No,No,A,2776.0,1277,54100,Premium,7,Moderate (41-55 dB),52,54.1,Living Room,Yes,No,Yes,Yes,Yes,Yes,Gold,Carbon Fiber,Compact,Yes,Yes,Digital,,Electric,BIS,4.3,78664,Offices,Low,11,No,No,Poor,Metro Cities,36-45,Male,Business Owner,Kolkata,Apartment,Premium,Yes,No,Bathroom
22,U0218,1499,Projector,Entertainment,view,,0,2024-08-25,392.0,Harman,United States,Yes,Yes,Yes,Yes,A++,24.3,12,79800,Luxury,1,Very Loud (>70 dB),74,78.3,Living Room,No,No,Yes,Yes,No,No,Rose Gold,Mixed,Extra Large,Yes,Yes,OLED,,Electric,CE+RoHS,4.0,13624,Students,High,8,Yes,No,Average,Select Cities,46-55,Male,Retired,Delhi,Apartment,Luxury,No,Yes,Power
23,U1683,3777,Table Fan,Climate,view,,0,2023-08-10,13.0,LG,South Korea,Yes,Yes,Yes,Yes,A+++,3581.6,2055,31800,Premium,6,Moderate (41-55 dB),72,36.3,Bedroom,Yes,No,Yes,Yes,Yes,Yes,Matte Black,Carbon Fiber,Extra Large,Yes,Yes,OLED,WiFi,Electric,CE,4.3,51578,Couples,Low,14,Yes,No,Poor,Metro Cities,55+,Male,Business Owner,Delhi,Apartment,Premium,No,No,Pet
24,U1119,26,Smart Curtain Motor,Smart Home,view,,0,2024-01-18,62.0,Havells,India,Yes,Yes,Yes,No,A+++,27.6,29,12000,Mid-Range,1,Moderate (41-55 dB),25,63.8,Any,No,No,Yes,Yes,No,No,Champagne,Mixed,Compact,Yes,Yes,,Z-Wave,Solar,CE,4.7,75253,Bachelors,Medium,17,Yes,Yes,Excellent,Online Only,26-35,Female,Working Professional,Kolkata,Independent House,Mid-Range,Yes,Yes,Laundry
25,U0707,4073,Mixer Grinder,Kitchen,purchase,4.6,1,2024-02-02,,Prestige,India,No,No,No,No,A+++,2748.3,1111,48200,Premium,3,Ultra Silent (<30 dB),72,82.2,Kitchen,No,Yes,Yes,Yes,Yes,No,Rose Gold,Mixed,Small,Yes,No,,,Electric,BIS,4.2,28101,Students,High,20,Yes,Yes,Good,Select Cities,26-35,Female,Business Owner,Hyderabad,Apartment,Premium,Yes,No,Tools
26,U0802,4140,Electric Mop,Cleaning,view,,0,2024-11-29,6.0,Dyson,United Kingdom,No,No,No,No,A,1576.9,669,32200,Premium,3,Very Loud (>70 dB),32,84.4,Kitchen,No,No,No,No,No,No,Stainless Steel,Carbon Fiber,Small,Yes,No,,,Electric,Energy Star,3.6,59142,Families,High,9,Yes,No,Excellent,Online Only,36-45,Female,Business Owner,Bangalore,Independent House,Premium,No,No,Power
27,U1023,3442,Massager,Personal Care,add_to_cart,,0,2023-08-06,,Oral-B,United States,No,No,No,No,A,2928.3,1346,10400,Mid-Range,1,Very Loud (>70 dB),37,39.2,Bathroom,No,Yes,No,Yes,Yes,No,Silver,Plastic,Compact,Yes,Yes,,,Electric,CE+RoHS,2.8,63296,Women,High,11,No,No,Good,Select Cities,46-55,Female,Student,Pune,Apartment,Mid-Range,No,No,Fitness
28,U1605,1213,Pressure Cooker,Kitchen,wishlist,3.7,0,2023-06-05,,Cuisinart,United States,No,No,No,No,D,5141.5,2946,96300,Luxury,4,Very Loud (>70 dB),31,1.6,Kitchen,No,No,Yes,Yes,Yes,No,Dark Blue,ABS Plastic,Large,Yes,No,Digital,,Electric,BIS,3.6,75330,Students,Medium,17,Yes,No,Average,Metro Cities,26-35,Female,Business Owner,Kolkata,Independent House,Luxury,Yes,Yes,Security
29,U0639,2053,Exercise Bike,Fitness,add_to_cart,,0,2024-04-17,,Lifefitness,United States,Yes,No,No,No,B,2765.0,1347,365300,Luxury,1,Very Loud (>70 dB),36,41.4,Basement,No,Yes,No,Yes,Yes,Yes,Champagne,Stainless Steel,Small,No,Yes,LED,,Electric,RoHS,2.8,23821,Fitness Enthusiasts,Medium,5,Yes,No,Poor,Online Only,46-55,Male,Retired,Mumbai,Villa,Luxury,No,No,Fitness
30,U0507,3873,Kegerator,Hobby,add_to_cart,,0,2024-11-07,,Janome,Japan,Yes,Yes,No,Yes,B,230.1,136,60700,Luxury,2,Loud (56-70 dB),61,46.8,Home Office,No,No,No,No,No,No,Rose Gold,Carbon Fiber,Small,Yes,Yes,,WiFi+Bluetooth,Electric,BIS+ISI,4.5,88369,Retirees,Medium,3,No,No,Poor,Pan India,26-35,Female,Working Professional,Bangalore,Villa,Mid-Range,Yes,Yes,Hobby
31,U0329,2268,Rowing Machine,Fitness,view,,0,2023-07-03,41.0,Kobo,India,No,No,No,No,A++,3823.0,2712,28500,Premium,3,Silent (30-40 dB),34,7.1,Any,No,Yes,No,Yes,Yes,No,Champagne,Cast Iron,Compact,Yes,No,OLED,,Electric,RoHS,3.0,67415,Athletes,Low,17,Yes,Yes,Excellent,Select Cities,36-45,Male,Business Owner,Bangalore,Independent House,Premium,Yes,Yes,Networking
32,U1972,1054,Smart Refrigerator,Kitchen,view,,0,2024-08-03,250.0,Samsung,South Korea,Yes,Yes,No,Yes,A,4961.8,2645,67200,Luxury,4,Loud (56-70 dB),67,53.2,Kitchen,No,No,Yes,Yes,Yes,Yes,Rose Gold,Cast Iron,Medium,No,Yes,OLED,WiFi+Bluetooth,Electric,CE+RoHS,3.9,5480,Working Professionals,High,8,No,No,Excellent,Pan India,18-25,Male,Business Owner,Pune,Apartment,Luxury,No,Yes,Hobby
33,U1182,3739,Built In Oven,Kitchen,add_to_cart,,0,2023-12-13,,Philips,Netherlands,No,No,No,No,A+,1880.5,1217,1700,Budget,2,Silent (30-40 dB),40,86.8,Kitchen,No,No,Yes,Yes,Yes,No,Blue,Polycarbonate,Compact,No,No,Digital,,Electric,Energy Star,3.9,7547,Working Professionals,High,17,Yes,No,Poor,Select Cities,26-35,Female,Student,Delhi,PG/Hostel,Budget,Yes,No,Personal Care
34,U0558,1148,Heating Pad,Personal Care,purchase,4.8,1,2023-03-26,,Remington,United States,No,No,No,No,A+++,32.6,15,14900,Mid-Range,1,Loud (56-70 dB),30,14.6,Bedroom,No,Yes,Yes,Yes,Yes,No,Silver,Polycarbonate,Small,Yes,No,,,Electric,Energy Star,4.1,58267,Men,Low,16,Yes,No,Average,Select Cities,26-35,Female,Working Professional,Kolkata,Apartment,Mid-Range,Yes,Yes,Bathroom
35,U0491,2484,Built In Refrigerator,Kitchen,add_to_cart,,0,2024-06-25,,Cuisinart,United States,No,No,No,No,A++,536.7,319,33500,Premium,2,Moderate (41-55 dB),50,14.1,Kitchen,No,Yes,Yes,Yes,Yes,No,Blue,Aluminum,Extra Large,No,No,OLED,,Electric,CE+RoHS,4.9,94796,Families,Medium,15,Yes,No,Poor,Select Cities,18-25,Female,Working Professional,Pune,Apartment,Premium,Yes,No,Bathroom
36,U1628,1599,Air Cooler,Climate,add_to_cart,,0,2024-11-24,,Philips,Netherlands,No,No,No,No,A++,3816.0,4716,9100,Mid-Range,5,Moderate (41-55 dB),52,5.9,Any,Yes,No,Yes,Yes,Yes,Yes,Champagne,Ceramic,Compact,Yes,No,Analog,,Electric,RoHS,4.3,79861,Senior Citizens,Low,14,Yes,No,Poor,Online Only,46-55,Male,Homemaker,Hyderabad,PG/Hostel,Mid-Range,No,No,Hobby
37,U0516,1378,Knitting Machine,Hobby,purchase,4.7,1,2023-03-31,,Brother,Japan,No,No,No,No,A,989.8,939,56200,Premium,1,Moderate (41-55 dB),44,47.8,Any,No,Yes,No,No,Yes,No,Black,Cast Iron,Medium,No,No,,,Electric,BIS,4.3,39914,Retirees,High,5,Yes,No,Poor,Pan India,18-25,Female,Working Professional,Lucknow,Independent House,Premium,No,No,Bathroom
38,U0610,3240,Pressure Washer,Cleaning,view,,0,2024-04-25,57.0,Black & Decker,United States,Yes,No,No,No,A++,1184.9,1782,58600,Premium,4,Silent (30-40 dB),39,28.9,Living Room,No,No,Yes,No,No,No,Silver,Stainless Steel,Large,No,Yes,,,Electric,CE,3.8,36935,Offices,Medium,12,Yes,No,Excellent,Pan India,26-35,Female,Working Professional,Kolkata,Apartment,Premium,Yes,Yes,Laundry
39,U1413,3269,WiFi Extender,Networking,purchase,4.1,1,2023-11-20,,Xiaomi,China,Yes,Yes,Yes,Yes,D,27.0,13,17100,Premium,2,Silent (30-40 dB),69,24.7,Home Office,No,Yes,Yes,No,No,Yes,Silver,Cast Iron,Small,No,Yes,,Z-Wave,Electric,ISI,3.9,91763,Families,High,15,No,No,Excellent,Metro Cities,36-45,Female,Homemaker,Delhi,Independent House,Premium,No,No,Personal Care
40,U0794,4732,Emergency Light,Security,view,,0,2024-02-17,500.0,D-Link,Taiwan,Yes,Yes,No,Yes,A,131.2,67,98700,Luxury,2,Ultra Silent (<30 dB),46,78.3,Garage,Yes,No,No,Yes,Yes,No,Blue,Glass,Large,No,Yes,,Bluetooth,Solar,BIS,3.3,10550,Homeowners,Medium,14,No,No,Good,Select Cities,18-25,Male,Student,Ahmedabad,Apartment,Mid-Range,Yes,No,Security
41,U1513,4392,Smart Lock,Security,add_to_cart,,0,2023-02-13,,Nest,United States,Yes,Yes,Yes,Yes,B,20.5,65,37300,Premium,3,Very Loud (>70 dB),29,67.0,Outdoor,Yes,Yes,Yes,Yes,Yes,No,Dark Blue,Cast Iron,Medium,Yes,Yes,,Bluetooth,Dual,CE,4.6,58721,Renters,High,16,No,No,Excellent,Metro Cities,46-55,Female,Retired,Mumbai,Villa,Premium,No,Yes,Security
42,U1640,55,Smart Door Lock,Security,view,,0,2023-10-03,218.0,Nest,United States,Yes,Yes,Yes,No,D,154.3,71,37800,Premium,2,Silent (30-40 dB),42,40.6,Garage,Yes,Yes,No,Yes,Yes,No,Red,Plastic,Large,No,Yes,,WiFi,Electric,BIS+ISI,2.6,65809,Offices,Low,14,Yes,No,Excellent,Online Only,26-35,Female,Student,Kolkata,Villa,Budget,No,Yes,Security
43,U0825,60,Hair Straightener,Personal Care,view,,0,2024-07-25,326.0,Braun,Germany,No,No,No,No,A+++,1448.2,891,12000,Mid-Range,3,Moderate (41-55 dB),45,9.5,Bedroom,No,Yes,No,Yes,No,No,Gold,Carbon Fiber,Large,No,No,,,Electric,CE+RoHS,2.9,58193,Men,Medium,3,Yes,No,Average,Pan India,36-45,Male,Student,Kolkata,PG/Hostel,Mid-Range,No,Yes,Pet
44,U0169,575,Electric Drill,Tools,view,,0,2023-01-08,7.0,Epson,Japan,No,No,No,No,B,1973.3,2442,41800,Premium,3,Silent (30-40 dB),53,24.0,Any,No,Yes,Yes,No,No,No,White,Polycarbonate,Small,Yes,Yes,,,Electric,Energy Star,2.6,58894,Homeowners,Medium,2,No,No,Poor,Pan India,18-25,Male,Working Professional,Bangalore,Villa,Premium,Yes,Yes,Smart Home
45,U0906,61,Electric Stove,Kitchen,add_to_cart,,0,2024-03-11,,Crompton,India,No,No,No,No,A+,4436.2,2151,42400,Premium,2,Silent (30-40 dB),63,61.1,Kitchen,No,Yes,Yes,Yes,Yes,No,Black,Glass,Medium,No,No,OLED,,Electric,ISI+BIS,3.4,74359,Families,High,6,Yes,Yes,Excellent,Metro Cities,36-45,Male,Working Professional,Jaipur,PG/Hostel,Premium,Yes,No,Bathroom
46,U0951,863,WiFi Extender,Networking,purchase,3.7,1,2023-07-28,,Google,United States,Yes,Yes,No,No,A++,49.0,26,9100,Mid-Range,1,Ultra Silent (<30 dB),37,54.6,Any,No,No,No,Yes,Yes,No,Gold,Plastic,Extra Large,Yes,Yes,,Bluetooth,Electric,ISI,4.3,79324,Work From Home,Medium,3,Yes,No,Excellent,Online Only,26-35,Female,Retired,Jaipur,Villa,Mid-Range,No,No,Entertainment
47,U1455,1858,Kegerator,Hobby,view,,0,2024-01-07,404.0,Singer,United States,No,No,No,No,D,1501.2,734,62600,Luxury,2,Loud (56-70 dB),30,11.7,Any,No,No,Yes,No,No,No,Black,Aluminum,Compact,No,Yes,,,Electric,CE+RoHS,3.6,69300,Students,Low,14,No,No,Poor,Metro Cities,18-25,Female,Homemaker,Jaipur,Independent House,Mid-Range,Yes,Yes,Hobby
48,U1085,2293,Electric Toothbrush,Personal Care,purchase,3.8,1,2024-07-01,,Syska,India,No,No,No,No,B,3596.4,1627,20100,Premium,2,Moderate (41-55 dB),75,70.5,Bathroom,No,Yes,Yes,Yes,No,No,Red,Ceramic,Medium,No,No,,,Electric,Energy Star,3.9,90804,Working Professionals,High,10,Yes,Yes,Average,Metro Cities,36-45,Male,Business Owner,Bangalore,Apartment,Premium,Yes,No,Smart Home
49,U0878,4450,Central Air Conditioner,Climate,purchase,5.0,1,2023-03-24,,Toshiba,Japan,No,No,No,No,A+,789.4,1187,31500,Premium,5,Very Loud (>70 dB),61,51.9,Living Room,Yes,No,Yes,Yes,Yes,Yes,Gold,Cast Iron,Large,Yes,No,LCD,,Electric,ISI+BIS,4.2,79030,Senior Citizens,Low,5,Yes,No,Excellent,Online Only,46-55,Male,Student,Delhi,Apartment,Budget,Yes,Yes,Climate
50,U1041,376,Trash Compactor,Kitchen,view,,0,2024-04-18,12.0,Crompton,India,No,No,No,No,A+,3113.6,1748,1500,Budget,3,Ultra Silent (<30 dB),25,2.7,Kitchen,No,No,Yes,Yes,Yes,No,Red,Aluminum,Extra Large,No,Yes,Analog,,Electric,CE+RoHS,5.0,31707,Working Professionals,Medium,8,Yes,Yes,Good,Select Cities,36-45,Female,Student,Mumbai,Apartment,Budget,No,Yes,Cleaning
51,U0891,930,Geyser,Bathroom,wishlist,3.4,0,2024-06-15,,Livpure,India,No,No,No,No,A+++,1251.4,1125,77900,Luxury,5,Moderate (41-55 dB),52,40.8,Bathroom,Yes,Yes,No,No,No,No,Silver,Mixed,Compact,No,No,,,Electric,BIS,3.6,51090,Bachelors,Low,13,Yes,Yes,Average,Select Cities,26-35,Male,Business Owner,Hyderabad,Apartment,Luxury,Yes,No,Entertainment
52,U1349,3846,Electric Blanket,Personal Care,add_to_cart,,0,2023-07-22,,Oral-B,United States,Yes,Yes,No,No,A+++,376.3,202,22200,Premium,1,Loud (56-70 dB),38,70.5,Bedroom,No,Yes,Yes,Yes,No,No,White,Aluminum,Small,Yes,Yes,,Z-Wave,Electric,BIS+ISI,3.7,71399,Women,High,5,Yes,No,Good,Metro Cities,46-55,Female,Homemaker,Pune,Apartment,Premium,No,No,Laundry
53,U0620,251,Landline Phone,Smart Home,purchase,4.2,1,2024-09-12,,Philips,Netherlands,Yes,Yes,Yes,No,A++,86.4,53,10900,Mid-Range,1,Moderate (41-55 dB),64,56.2,Any,No,No,No,No,No,No,Stainless Steel,Mixed,Large,Yes,Yes,,Bluetooth,Electric,CE+RoHS,3.8,71108,Bachelors,High,19,Yes,No,Excellent,Select Cities,18-25,Male,Business Owner,Bangalore,PG/Hostel,Luxury,No,No,Smart Home
54,U1390,24,Sprinkler System,Tools,wishlist,5.0,0,2024-04-18,,Black & Decker,United States,Yes,Yes,Yes,Yes,B,4600.3,2599,44500,Premium,1,Loud (56-70 dB),45,16.6,Garage,No,No,No,No,No,No,Rose Gold,Plastic,Extra Large,Yes,Yes,,WiFi+Bluetooth,Electric,ISI+BIS,4.9,11231,Homeowners,High,15,No,No,Poor,Select Cities,18-25,Male,Homemaker,Pune,Independent House,Premium,No,Yes,Decor
55,U1326,2861,Air Conditioner,Climate,add_to_cart,,0,2023-02-22,,Havells,India,Yes,Yes,No,Yes,B,958.4,1493,95000,Luxury,7,Ultra Silent (<30 dB),42,64.1,Living Room,Yes,No,Yes,Yes,Yes,Yes,White,Stainless Steel,Compact,Yes,Yes,OLED,WiFi+Bluetooth,Electric,CE,3.9,45138,Families,High,11,No,Yes,Excellent,Select Cities,46-55,Female,Student,Delhi,PG/Hostel,Mid-Range,No,Yes,Climate
56,U1169,1102,Steam Iron,Laundry,view,,0,2024-01-02,65.0,Onida,India,No,No,No,No,A++,4316.8,2597,54000,Premium,4,Ultra Silent (<30 dB),58,54.6,Utility Room,No,Yes,Yes,Yes,Yes,Yes,Red,Aluminum,Large,Yes,Yes,,,Electric,RoHS,4.4,82826,Working Professionals,Low,2,Yes,Yes,Excellent,Metro Cities,36-45,Male,Student,Mumbai,PG/Hostel,Budget,Yes,No,Laundry
57,U0340,4222,Smart Refrigerator,Kitchen,purchase,4.1,1,2023-05-13,,Usha,India,Yes,Yes,Yes,Yes,C,490.4,961,12400,Mid-Range,2,Very Loud (>70 dB),59,77.5,Kitchen,No,No,Yes,Yes,Yes,No,Matte Black,Carbon Fiber,Large,Yes,Yes,LED,WiFi,Electric,CE+RoHS,3.5,58233,Working Professionals,Low,3,No,Yes,Average,Select Cities,55+,Male,Working Professional,Mumbai,Independent House,Mid-Range,Yes,No,Decor
