Interaction_ID,User_ID,Appliance_ID,Home_Appliance,Category,Event_Type,User_Rating_Given,Purchased,Interaction_Date,Session_Duration_sec
29,U0639,2053,Exercise Bike,Fitness,add_to_cart,,0,2024-04-17,
30,U0507,3873,Kegerator,Hobby,add_to_cart,,0,2024-11-07,
31,U0329,2268,Rowing Machine,Fitness,view,,0,2023-07-03,41.0
32,U1972,1054,Smart Refrigerator,Kitchen,view,,0,2024-08-03,250.0
33,U1182,3739,Built In Oven,Kitchen,add_to_cart,,0,2023-12-13,
34,U0558,1148,Heating Pad,Personal Care,purchase,4.8,1,2023-03-26,
35,U0491,2484,Built In Refrigerator,Kitchen,add_to_cart,,0,2024-06-25,
36,U1628,1599,Air Cooler,Climate,add_to_cart,,0,2024-11-24,
37,U0516,1378,Knitting Machine,Hobby,purchase,4.7,1,2023-03-31,
38,U0610,3240,Pressure Washer,Cleaning,view,,0,2024-04-25,57.0
39,U1413,3269,WiFi Extender,Networking,purchase,4.1,1,2023-11-20,
40,U0794,4732,Emergency Light,Security,view,,0,2024-02-17,500.0
41,U1513,4392,Smart Lock,Security,add_to_cart,,0,2023-02-13,
42,U1640,55,Smart Door Lock,Security,view,,0,2023-10-03,218.0
43,U0825,60,Hair Straightener,Personal Care,view,,0,2024-07-25,326.0
44,U0169,575,Electric Drill,Tools,view,,0,2023-01-08,7.0
45,U0906,61,Electric Stove,Kitchen,add_to_cart,,0,2024-03-11,
46,U0951,863,WiFi Extender,Networking,purchase,3.7,1,2023-07-28,
47,U1455,1858,Kegerator,Hobby,view,,0,2024-01-07,404.0
48,U1085,2293,Electric Toothbrush,Personal Care,purchase,3.8,1,2024-07-01,
49,U0878,4450,Central Air Conditioner,Climate,purchase,5.0,1,2023-03-24,
50,U1041,376,Trash Compactor,Kitchen,view,,0,2024-04-18,12.0
51,U0891,930,Geyser,Bathroom,wishlist,3.4,0,2024-06-15,
52,U1349,3846,Electric Blanket,Personal Care,add_to_cart,,0,2023-07-22,
53,U0620,251,Landline Phone,Smart Home,purchase,4.2,1,2024-09-12,
54,U1390,24,Sprinkler System,Tools,wishlist,5.0,0,2024-04-18,
55,U1326,2861,Air Conditioner,Climate,add_to_cart,,0,2023-02-22,
56,U1169,1102,Steam Iron,Laundry,view,,0,2024-01-02,65.0
57,U0340,4222,Smart Refrigerator,Kitchen,purchase,4.1,1,2023-05-13,
58,U1111,1721,Jacuzzi Pump,Bathroom,add_to_cart,,0,2023-08-10,
59,U0280,4460,Electric Vehicle Charger,Power,purchase,4.7,1,2023-06-14,
60,U1933,4110,Air Conditioner,Climate,add_to_cart,,0,2024-03-28,
61,U0028,203,Electric Oven,Kitchen,purchase,3.7,1,2024-09-01,
62,U0820,546,Electric Mop,Cleaning,purchase,4.9,1,2023-07-01,
63,U1028,1202,Waffle Maker,Kitchen,add_to_cart,,0,2024-05-30,
64,U0104,625,Vacuum Cleaner,Cleaning,purchase,5.0,1,2024-11-07,
65,U0053,2216,Water Pump,Outdoor,add_to_cart,,0,2023-06-30,
66,U0826,1113,Epilator,Personal Care,add_to_cart,,0,2023-02-07,
67,U1006,2781,Meat Grinder,Kitchen,purchase,4.3,1,2023-04-23,
68,U1020,1269,Pet Feeder,Pet,add_to_cart,,0,2023-01-24,
69,U0516,1378,Knitting Machine,Hobby,add_to_cart,,0,2023-06-25,
70,U0867,3163,Electric Shaver,Personal Care,view,,0,2024-04-30,207.0
71,U0060,2481,Lawn Mower,Tools,view,,0,2024-12-01,21.0
72,U1164,4282,Kombucha Maker,Hobby,add_to_cart,,0,2024-03-05,
73,U0927,2020,Ice Cream Maker,Kitchen,view,,0,2023-03-25,24.0
74,U1246,929,Heater,Climate,view,,0,2024-03-11,277.0
75,U0375,2510,Hot Plate,Kitchen,wishlist,5.0,0,2024-10-09,
76,U0867,1240,Knitting Machine,Hobby,purchase,5.0,1,2023-03-30,
77,U1056,4616,Bladeless Fan,Climate,add_to_cart,,0,2023-05-27,
78,U1591,381,Food Dehydrator,Kitchen,add_to_cart,,0,2023-11-14,
79,U0279,4949,Home Automation Controller,Networking,add_to_cart,,0,2024-09-24,
80,U0787,3683,Aquarium Heater,Pet,view,,0,2023-01-06,11.0
81,U1396,2385,Mixer Grinder,Kitchen,add_to_cart,,0,2024-01-26,
82,U0555,1978,Hair Dryer,Personal Care,view,,0,2023-12-04,38.0
83,U0846,1072,Automatic Pet Water Fountain,Pet,wishlist,4.4,0,2023-05-20,
84,U1732,2842,Home Automation Controller,Networking,view,,0,2024-06-19,313.0
85,U0534,2378,Lint Remover,Laundry,add_to_cart,,0,2024-02-20,
86,U1359,4286,Label Maker,Tools,purchase,4.1,1,2023-07-25,
87,U1939,3801,Vacuum Cleaner,Cleaning,purchase,4.3,1,2023-02-26,
88,U1676,4831,Ice Crusher,Kitchen,view,,0,2024-10-17,55.0
89,U1861,2570,DVD Player,Entertainment,view,,0,2023-08-05,25.0
90,U1054,544,Garage Door Motor,Outdoor,add_to_cart,,0,2024-03-29,
91,U1041,182,Central Vacuum System,Cleaning,view,,0,2023-09-21,134.0
92,U0840,2679,Smart Refrigerator,Kitchen,view,,0,2024-07-12,95.0
93,U1861,3702,Gaming Console,Entertainment,view,,0,2024-02-18,328.0
94,U0735,227,RO Purifier,Bathroom,purchase,3.4,1,2023-05-10,
95,U1420,3720,Water Dispenser,Kitchen,wishlist,3.4,0,2023-12-29,
96,U0323,2315,Kegerator,Hobby,add_to_cart,,0,2024-12-12,
97,U1429,2130,Knitting Machine,Hobby,add_to_cart,,0,2024-05-02,
98,U1396,821,Label Maker,Tools,add_to_cart,,0,2023-02-27,
99,U1514,2096,Smart Dryer,Laundry,purchase,4.8,1,2023-05-15,
100,U0690,248,Egg Cooker,Kitchen,purchase,5.0,1,2024-09-06,
101,U1265,3399,Attic Fan,Climate,view,,0,2023-06-04,77.0
102,U0746,4893,Modem,Networking,view,,0,2024-09-14,16.0
103,U0798,3105,Video Doorbell,Security,view,,0,2024-02-23,212.0
104,U0355,2076,Pet Feeder,Pet,view,,0,2023-05-08,55.0
105,U0729,2928,Clock,Decor,add_to_cart,,0,2023-04-09,
106,U0880,2850,Garment Steamer,Laundry,wishlist,3.5,0,2023-05-02,
107,U0775,3908,Heating Pad,Personal Care,view,,0,2023-05-28,41.0
108,U0159,4222,Smart Refrigerator,Kitchen,purchase,3.6,1,2023-10-31,
109,U1607,770,Clock,Decor,add_to_cart,,0,2023-06-28,
110,U0402,4623,Pet Feeder,Pet,purchase,4.3,1,2023-07-01,
111,U1030,2093,Paper Shredder,Tools,add_to_cart,,0,2024-02-24,
112,U0471,129,Ice Cream Maker,Kitchen,view,,0,2023-05-30,314.0
113,U1785,2055,Tankless Water Heater,Bathroom,view,,0,2023-08-01,9.0
114,U1759,2899,Grill Microwave,Kitchen,view,,0,2024-07-28,65.0
115,U1328,866,Fabric Shaver,Laundry,add_to_cart,,0,2023-11-23,
116,U0374,3586,Washer Dryer Combo,Laundry,purchase,3.5,1,2024-05-26,
117,U1669,1481,Heater,Climate,view,,0,2023-08-28,51.0
118,U1857,4218,Wall Clock,Decor,view,,0,2023-09-21,190.0
119,U1971,4623,Pet Feeder,Pet,add_to_cart,,0,2023-05-01,
120,U1984,715,Vacuum Cleaner,Cleaning,view,,0,2024-01-06,265.0
121,U0198,3005,Terrarium Heater,Pet,purchase,3.7,1,2023-07-10,
122,U1760,1718,Hand Mixer,Kitchen,view,,0,2024-11-25,6.0
123,U1242,3977,Central Vacuum System,Cleaning,wishlist,3.6,0,2023-03-16,
124,U0003,3102,Home Automation Controller,Networking,view,,0,2024-05-28,82.0
125,U0904,97,Freezer,Kitchen,add_to_cart,,0,2023-10-22,
126,U0241,3665,Table Fan,Climate,purchase,4.8,1,2023-01-12,
127,U1349,4495,Clothes Dryer,Laundry,add_to_cart,,0,2024-08-22,
128,U0163,500,Solo Microwave,Kitchen,purchase,4.8,1,2023-02-18,
129,U1215,924,Electric Oven,Kitchen,purchase,5.0,1,2023-12-12,
130,U1869,613,Set Top Box,Entertainment,purchase,3.8,1,2023-08-10,
131,U0341,501,Electric Fireplace,Climate,add_to_cart,,0,2024-01-22,
132,U1761,2854,Smart Air Conditioner,Climate,wishlist,4.6,0,2024-02-13,
133,U1764,3361,Geyser,Bathroom,view,,0,2023-12-11,160.0
134,U1275,1941,Home Automation Controller,Networking,wishlist,4.2,0,2024-02-13,
135,U1307,1843,Central Air Conditioner,Climate,purchase,4.3,1,2024-01-31,
136,U0580,1288,Lawn Mower,Tools,add_to_cart,,0,2024-02-29,
137,U1034,3488,Sewing Machine,Hobby,purchase,4.2,1,2024-01-15,
138,U0460,1216,RO Purifier,Bathroom,view,,0,2024-07-01,76.0
139,U1505,1828,OTG Oven,Kitchen,purchase,4.3,1,2023-04-05,
140,U1198,3881,Trash Compactor,Kitchen,wishlist,5.0,0,2023-07-05,
141,U1933,1283,Smart Oven,Kitchen,purchase,4.2,1,2023-02-08,
142,U0057,3464,Pool Pump,Outdoor,add_to_cart,,0,2024-01-17,
143,U1473,2433,Clothes Dryer,Laundry,add_to_cart,,0,2024-02-13,
144,U0352,4619,Jacuzzi Pump,Bathroom,view,,0,2024-03-30,150.0
145,U0013,3364,Pet Feeder,Pet,add_to_cart,,0,2023-08-24,
146,U1155,360,Air Cooler,Climate,add_to_cart,,0,2023-11-15,
147,U0578,2296,Deep Fryer,Kitchen,view,,0,2024-11-01,93.0
148,U0285,2548,Air Quality Monitor,Smart Home,view,,0,2023-08-20,29.0
149,U1849,4015,Smoke Detector,Security,add_to_cart,,0,2024-10-31,
150,U1490,4625,Smart Hub,Networking,purchase,3.1,1,2023-11-15,
151,U1280,2138,Cold Press Juicer,Kitchen,add_to_cart,,0,2023-04-19,
152,U1021,3,Tea Maker,Kitchen,purchase,4.2,1,2024-12-05,
153,U0029,3720,Water Dispenser,Kitchen,wishlist,4.4,0,2023-11-18,
154,U1355,718,Modem,Networking,wishlist,4.1,0,2023-08-12,
155,U0402,2109,Weather Station,Smart Home,view,,0,2024-12-29,4.0
156,U0492,2821,Label Maker,Tools,purchase,4.1,1,2024-11-21,
157,U0109,1174,Aquarium Filter,Pet,purchase,5.0,1,2024-12-29,
158,U0272,2580,WiFi Extender,Networking,add_to_cart,,0,2023-09-13,
159,U1438,1876,Exhaust Fan,Climate,purchase,2.8,1,2024-01-28,
160,U0580,4408,Laminator,Tools,view,,0,2023-10-31,105.0
161,U0852,281,Treadmill,Fitness,add_to_cart,,0,2024-03-24,
162,U1600,1494,Leaf Blower,Tools,wishlist,3.3,0,2023-03-24,
163,U0070,728,Water Boiler,Kitchen,view,,0,2024-03-24,29.0
164,U0127,2664,Smart Bulb,Smart Home,view,,0,2024-03-07,81.0
165,U1183,2094,Electric Stove,Kitchen,view,,0,2023-09-20,2.0
166,U0571,802,Portable Air Conditioner,Climate,view,,0,2023-03-13,20.0
167,U0302,4122,Water Flosser,Personal Care,wishlist,3.9,0,2024-05-30,
168,U0807,481,Paper Shredder,Tools,purchase,4.2,1,2023-10-28,
169,U1833,924,Electric Oven,Kitchen,purchase,4.8,1,2024-12-02,
170,U1266,1983,Electric Stove,Kitchen,wishlist,4.4,0,2023-11-25,
171,U0850,1399,Smart Vacuum,Cleaning,view,,0,2024-05-03,50.0
172,U0914,3012,Router,Networking,view,,0,2024-06-30,55.0
173,U1491,3445,Electric Fireplace,Climate,wishlist,4.7,0,2023-05-11,
174,U1627,2578,Convection Microwave,Kitchen,purchase,4.9,1,2023-09-20,
175,U0668,4918,Automatic Pet Water Fountain,Pet,view,,0,2024-03-17,54.0
176,U0260,3959,Induction Oven,Kitchen,add_to_cart,,0,2023-10-25,
177,U1759,4130,Router,Networking,view,,0,2024-02-24,117.0
178,U1326,4327,Air Quality Monitor,Smart Home,view,,0,2024-11-05,122.0
179,U1521,2559,Subwoofer,Entertainment,view,,0,2024-09-17,1.0
180,U0904,3252,Hair Curler,Personal Care,view,,0,2023-06-13,32.0
181,U0081,79,Bathroom Exhaust Fan,Bathroom,view,,0,2023-10-17,255.0
182,U0496,1317,Lint Remover,Laundry,add_to_cart,,0,2024-01-24,
183,U1491,3641,Electric Drill,Tools,view,,0,2024-11-25,359.0
184,U1630,4636,Juicer,Kitchen,add_to_cart,,0,2024-11-25,
185,U0495,82,Home Server,Networking,view,,0,2024-09-10,30.0
186,U0266,2996,Bread Maker,Kitchen,add_to_cart,,0,2024-09-25,
187,U1026,2918,Pet Feeder,Pet,view,,0,2024-11-13,407.0
188,U1055,2268,Rowing Machine,Fitness,view,,0,2024-03-26,80.0
189,U0003,1570,Tankless Water Heater,Bathroom,add_to_cart,,0,2023-07-19,
190,U0539,2168,Sump Pump,Outdoor,add_to_cart,,0,2024-01-24,
191,U0476,3455,Wall Clock,Decor,view,,0,2023-12-11,173.0
192,U1219,2187,Electric Scooter Charger,Power,view,,0,2023-07-22,146.0
193,U1361,2464,Heater,Climate,purchase,3.9,1,2023-12-20,
194,U0555,4498,Landline Phone,Smart Home,wishlist,3.0,0,2023-01-05,
195,U1392,4046,Electric Toothbrush,Personal Care,view,,0,2024-11-14,56.0
196,U1010,4210,Built In Oven,Kitchen,view,,0,2023-12-30,146.0
197,U1140,2747,Smart Hub,Networking,view,,0,2024-12-12,145.0
198,U0828,2926,Smart Plug,Smart Home,view,,0,2023-10-30,107.0
199,U1412,1251,Sandwich Maker,Kitchen,add_to_cart,,0,2023-07-17,
200,U0014,2663,Garment Steamer,Laundry,view,,0,2024-11-11,124.0
201,U0210,630,Food Dehydrator,Kitchen,add_to_cart,,0,2024-11-14,
202,U1878,1670,Electric Tandoor,Kitchen,purchase,3.2,1,2023-06-25,
203,U1509,1487,Smart Plug,Smart Home,add_to_cart,,0,2024-10-17,
204,U1977,51,Carpet Cleaner,Cleaning,view,,0,2023-09-25,5.0
205,U0907,2207,Clock,Decor,wishlist,5.0,0,2024-11-03,
206,U0718,410,Sandwich Maker,Kitchen,purchase,4.0,1,2024-03-02,
207,U0050,1535,Coffee Grinder,Kitchen,add_to_cart,,0,2024-12-24,
208,U0142,2488,Home Sauna,Fitness,purchase,3.2,1,2023-08-25,
209,U1366,3321,Air Fryer,Kitchen,add_to_cart,,0,2024-02-23,
210,U0819,2690,Popcorn Maker,Kitchen,view,,0,2023-12-20,124.0
211,U1718,1866,Electric Stove,Kitchen,view,,0,2024-11-03,138.0
212,U0521,2137,Alarm Clock,Decor,view,,0,2024-02-14,163.0
213,U1286,2088,Pet Feeder,Pet,purchase,5.0,1,2023-01-04,
214,U0830,51,Carpet Cleaner,Cleaning,view,,0,2023-04-26,4.0
215,U1096,4680,Knitting Machine,Hobby,view,,0,2024-05-28,19.0
216,U0786,3982,Exercise Bike,Fitness,purchase,4.5,1,2024-06-28,
217,U0902,2028,Digital Safe,Security,purchase,4.2,1,2023-07-27,
218,U0870,1147,Microwave Oven,Kitchen,view,,0,2023-01-02,241.0
219,U0213,2031,WiFi Extender,Networking,wishlist,2.6,0,2024-06-18,
220,U1537,1217,Smart TV,Entertainment,purchase,3.1,1,2023-11-14,
221,U1174,296,Electric Lunch Box,Kitchen,view,,0,2024-11-19,137.0
222,U1172,1953,RO Purifier,Bathroom,add_to_cart,,0,2023-06-21,
223,U1315,1542,WiFi Extender,Networking,view,,0,2024-06-07,6.0
224,U0679,795,Digital Safe,Security,wishlist,4.6,0,2024-03-30,
225,U0266,4419,Induction Cooktop,Kitchen,wishlist,3.8,0,2023-07-30,
226,U1326,2774,Aquarium Filter,Pet,purchase,3.2,1,2023-09-28,
227,U0119,4479,Pressure Washer,Cleaning,view,,0,2024-03-02,39.0
228,U1395,3468,Air Conditioner,Climate,view,,0,2024-04-24,4.0
229,U0236,4958,Electric Toothbrush,Personal Care,add_to_cart,,0,2024-07-27,
230,U0880,2810,Alarm Clock,Decor,view,,0,2024-06-27,124.0
231,U0035,382,Built In Microwave,Kitchen,view,,0,2024-10-03,67.0
232,U1971,4707,Baby Food Maker,Kitchen,view,,0,2024-09-26,112.0
233,U1041,1226,Countertop Dishwasher,Cleaning,view,,0,2024-10-08,56.0
234,U0627,1002,UV Water Purifier,Bathroom,add_to_cart,,0,2024-09-12,
235,U0544,1449,Leaf Blower,Tools,view,,0,2023-10-22,58.0
236,U1928,4001,Built In Dishwasher,Kitchen,view,,0,2023-07-25,26.0
237,U0221,1490,Ceiling Fan,Climate,view,,0,2023-01-22,31.0
238,U1583,3739,Built In Oven,Kitchen,add_to_cart,,0,2023-04-18,
239,U0993,4034,Wall Clock,Decor,purchase,4.6,1,2023-11-11,
240,U1425,1750,Smoke Detector,Security,purchase,3.7,1,2023-03-19,
241,U0372,449,Smart Garage Door Opener,Security,view,,0,2024-08-17,69.0
242,U0563,3686,Electric Lunch Box,Kitchen,add_to_cart,,0,2023-02-02,
243,U1491,2338,Gas Stove,Kitchen,view,,0,2023-03-01,113.0
244,U0467,4774,Freezer,Kitchen,add_to_cart,,0,2024-03-02,
245,U0761,3494,Water Pump,Outdoor,add_to_cart,,0,2023-11-03,
246,U1576,3007,RO Purifier,Bathroom,add_to_cart,,0,2024-01-14,
247,U0527,2159,Table Fan,Climate,add_to_cart,,0,2024-07-24,
248,U0106,125,Kombucha Maker,Hobby,view,,0,2024-10-03,143.0
249,U1149,4207,Clock,Decor,add_to_cart,,0,2024-12-28,
250,U1274,3030,Smart Plug,Smart Home,add_to_cart,,0,2024-08-25,
251,U1595,240,Wine Cooler,Kitchen,add_to_cart,,0,2024-08-11,
252,U0667,961,Electric Blanket,Personal Care,purchase,4.4,1,2023-10-30,
253,U0869,2616,Meat Grinder,Kitchen,add_to_cart,,0,2023-07-18,
254,U1336,3208,Digital Photo Frame,Entertainment,view,,0,2023-04-13,131.0
255,U0737,3332,Ice Maker,Kitchen,add_to_cart,,0,2024-02-09,
256,U1629,3505,Power Strip,Power,add_to_cart,,0,2024-02-13,
257,U1634,1835,Space Heater,Climate,view,,0,2023-06-26,125.0
258,U1200,4096,Boot Warmer,Laundry,purchase,5.0,1,2023-09-29,
259,U0222,4908,Massage Chair,Personal Care,view,,0,2024-04-16,157.0
260,U1710,1844,Automatic Pet Water Fountain,Pet,view,,0,2023-12-03,20.0
261,U0228,1948,Floor Polisher,Cleaning,wishlist,4.4,0,2023-05-12,
262,U0936,3463,Home Automation Controller,Networking,purchase,4.1,1,2023-05-14,
263,U0957,3268,Food Dehydrator,Kitchen,purchase,4.0,1,2024-04-02,
264,U0541,3177,Massage Chair,Personal Care,purchase,3.3,1,2024-12-12,
265,U0805,342,Hair Curler,Personal Care,add_to_cart,,0,2024-12-19,
266,U1636,3815,Chainsaw,Tools,view,,0,2024-02-03,17.0
267,U1075,2134,Massage Chair,Personal Care,wishlist,4.0,0,2024-03-04,
268,U1772,2712,Water Flosser,Personal Care,purchase,2.9,1,2024-07-29,
269,U1415,1453,Cotton Candy Machine,Hobby,add_to_cart,,0,2023-07-03,
270,U0288,4735,Hot Plate,Kitchen,purchase,4.1,1,2024-01-04,
271,U1966,3885,Electric Blanket,Personal Care,add_to_cart,,0,2023-09-14,
272,U0108,342,Hair Curler,Personal Care,purchase,4.6,1,2023-08-01,
273,U1383,4786,Smart Refrigerator,Kitchen,purchase,5.0,1,2023-10-08,
274,U1930,2637,Water Boiler,Kitchen,view,,0,2024-04-19,269.0
275,U0125,1382,Smart Lock,Security,view,,0,2024-08-09,19.0
276,U0762,3952,UPS,Power,view,,0,2024-12-17,414.0
277,U0201,802,Portable Air Conditioner,Climate,purchase,4.8,1,2024-01-27,
278,U0062,2549,Water Flosser,Personal Care,wishlist,4.3,0,2023-07-08,
279,U1418,1539,Chainsaw,Tools,view,,0,2024-05-05,605.0
280,U0434,1095,Electric Oven,Kitchen,add_to_cart,,0,2024-08-09,
281,U0326,1185,Countertop Dishwasher,Cleaning,view,,0,2024-10-02,259.0
282,U1939,3002,Terrarium Heater,Pet,wishlist,3.0,0,2024-05-02,
283,U0728,3550,3D Printer,Hobby,view,,0,2024-11-11,12.0
284,U1071,3564,Electric Grill,Kitchen,view,,0,2023-06-23,408.0
285,U1807,1757,Steam Iron,Laundry,add_to_cart,,0,2023-03-18,
286,U0370,2601,Aquarium Filter,Pet,purchase,3.7,1,2024-06-28,
287,U1562,4455,Steam Cleaner,Cleaning,add_to_cart,,0,2023-09-03,
288,U1119,110,Electric Kettle,Kitchen,purchase,4.2,1,2024-04-15,
289,U0469,2320,Smart Curtain Motor,Smart Home,view,,0,2024-06-19,369.0
290,U1411,4704,Boot Warmer,Laundry,add_to_cart,,0,2023-01-16,
291,U0888,2911,Network Attached Storage,Networking,wishlist,4.3,0,2023-04-28,
292,U1564,4617,Extension Cord,Power,add_to_cart,,0,2023-12-04,
293,U0162,4048,Chapati Maker,Kitchen,view,,0,2024-05-20,132.0
294,U0159,340,Jacuzzi Pump,Bathroom,purchase,4.0,1,2023-03-15,
295,U0712,2290,Smart Lock,Security,view,,0,2023-12-10,67.0
296,U1752,1682,Clock,Decor,view,,0,2024-11-01,102.0
297,U0834,2123,Portable Air Conditioner,Climate,view,,0,2023-01-05,298.0
298,U0845,247,Lawn Mower,Tools,purchase,5.0,1,2024-08-06,
299,U0518,115,Hair Straightener,Personal Care,add_to_cart,,0,2024-11-27,
300,U0417,1272,Smart Lock,Security,purchase,5.0,1,2024-06-29,
301,U0629,3636,Router,Networking,view,,0,2023-10-09,81.0
302,U1008,569,Countertop Dishwasher,Cleaning,view,,0,2024-10-10,53.0
303,U0078,1048,Printer,Tools,add_to_cart,,0,2023-01-13,
304,U1596,3509,Juicer,Kitchen,purchase,5.0,1,2024-08-19,
305,U1652,1730,Smart Plug,Smart Home,add_to_cart,,0,2023-11-23,
306,U0284,4672,Massager,Personal Care,add_to_cart,,0,2024-02-28,
307,U1748,3984,Bathroom Exhaust Fan,Bathroom,add_to_cart,,0,2023-09-25,
308,U0950,1457,Terrarium Heater,Pet,view,,0,2023-06-19,24.0
309,U0248,4731,Water Pump,Outdoor,purchase,5.0,1,2023-05-20,
310,U1748,3007,RO Purifier,Bathroom,purchase,3.7,1,2024-08-25,
311,U1449,3092,Electric Lunch Box,Kitchen,add_to_cart,,0,2023-02-18,
312,U0776,786,Hair Dryer,Personal Care,add_to_cart,,0,2024-02-11,
313,U0618,2292,Tankless Water Heater,Bathroom,purchase,4.9,1,2023-02-07,
314,U1792,4231,Electric Vehicle Charger,Power,add_to_cart,,0,2023-02-18,
315,U0580,2367,Soundbar,Entertainment,purchase,3.8,1,2023-12-17,
316,U0883,3250,Electric Tandoor,Kitchen,purchase,4.9,1,2024-06-07,
317,U1781,2162,Hair Dryer,Personal Care,add_to_cart,,0,2023-08-24,
318,U1132,4591,Set Top Box,Entertainment,purchase,4.9,1,2024-07-22,
319,U0578,2801,Milk Frother,Kitchen,add_to_cart,,0,2023-10-27,
320,U1071,2050,Cooktop,Kitchen,view,,0,2023-06-12,72.0
321,U0764,4994,Hair Curler,Personal Care,add_to_cart,,0,2024-03-25,
322,U1223,4086,Blender,Kitchen,add_to_cart,,0,2023-02-28,
323,U1605,83,Printer,Tools,add_to_cart,,0,2024-12-13,
324,U1691,1414,Scanner,Tools,view,,0,2024-03-03,51.0
325,U0945,754,Handheld Vacuum,Cleaning,view,,0,2023-08-24,126.0
326,U0158,2166,Landline Phone,Smart Home,view,,0,2023-07-13,75.0
327,U1418,2601,Aquarium Filter,Pet,view,,0,2023-04-30,10.0
328,U1888,4991,Mini Washing Machine,Laundry,view,,0,2024-05-11,0.0
329,U0652,4218,Wall Clock,Decor,wishlist,4.2,0,2023-06-25,
330,U1301,2205,Smart Display,Entertainment,purchase,2.7,1,2023-10-07,
331,U1773,2386,Aquarium Heater,Pet,add_to_cart,,0,2023-10-10,
332,U0679,466,Weather Station,Smart Home,add_to_cart,,0,2024-11-03,
333,U1390,234,Milk Frother,Kitchen,purchase,4.1,1,2024-01-09,
334,U0749,3285,Toaster Oven,Kitchen,purchase,3.0,1,2023-03-14,
335,U1370,3357,Smart Air Conditioner,Climate,view,,0,2024-07-27,442.0
336,U0979,1445,Built In Oven,Kitchen,view,,0,2023-07-22,94.0
337,U1472,3987,Air Conditioner,Climate,view,,0,2024-07-26,168.0
338,U0093,4307,Smoke Detector,Security,wishlist,5.0,0,2023-06-27,
339,U0957,3739,Built In Oven,Kitchen,purchase,3.9,1,2024-12-19,
340,U0470,2859,Air Cooler,Climate,add_to_cart,,0,2023-12-29,
341,U0712,110,Electric Kettle,Kitchen,add_to_cart,,0,2024-10-30,
342,U0818,4724,Aquarium Heater,Pet,add_to_cart,,0,2024-07-01,
343,U1692,673,Coffee Grinder,Kitchen,add_to_cart,,0,2023-03-25,
344,U0082,1941,Home Automation Controller,Networking,purchase,4.1,1,2024-11-25,
345,U0171,4571,Water Softener,Bathroom,add_to_cart,,0,2023-04-27,
346,U0673,1807,Emergency Light,Security,view,,0,2023-05-09,43.0
347,U1090,4734,Smart Garage Door Opener,Security,view,,0,2023-05-21,20.0
348,U1609,1974,Router,Networking,view,,0,2023-06-03,192.0
349,U0952,1615,Cotton Candy Machine,Hobby,add_to_cart,,0,2024-07-12,
350,U0707,2491,Crepe Maker,Kitchen,purchase,3.5,1,2023-03-30,
351,U0982,278,Hair Curler,Personal Care,purchase,4.6,1,2023-02-03,
352,U0896,700,Slow Cooker,Kitchen,purchase,3.5,1,2024-06-09,
353,U0815,1036,Hair Curler,Personal Care,add_to_cart,,0,2024-10-24,
