User_ID,Age_Group,Gender,Occupation,City,Home_Type,Budget_Preference,Smart_Home_Interest,Eco_Conscious,Preferred_Category
U0049,55+,Male,Homemaker,Mumbai,Apartment,Mid-Range,No,Yes,Personal Care
U0050,36-45,Female,Business Owner,Lucknow,PG/Hostel,Premium,Yes,No,Pet
U0051,36-45,Male,Student,Lucknow,PG/Hostel,Budget,Yes,No,Kitchen
U0052,36-45,Male,Student,Lucknow,Independent House,Mid-Range,Yes,Yes,Decor
U0053,18-25,Female,Student,Pune,Independent House,Budget,Yes,Yes,Outdoor
U0054,36-45,Female,Working Professional,Pune,Apartment,Premium,No,No,Security
U0055,26-35,Female,Homemaker,Lucknow,PG/Hostel,Premium,No,No,Kitchen
U0056,36-45,Male,Working Professional,Jaipur,Apartment,Mid-Range,Yes,No,Kitchen
U0057,26-35,Other,Working Professional,Pune,Apartment,Mid-Range,Yes,Yes,Outdoor
U0058,46-55,Female,Homemaker,Jaipur,Independent House,Mid-Range,Yes,No,Entertainment
U0059,36-45,Male,Working Professional,Delhi,Independent House,Premium,No,No,Entertainment
U0060,26-35,Female,Student,Chennai,Apartment,Mid-Range,No,No,Tools
U0061,55+,Female,Retired,Chennai,Apartment,Luxury,No,Yes,Power
U0062,18-25,Male,Retired,Kolkata,Villa,Mid-Range,No,Yes,Smart Home
U0063,55+,Male,Business Owner,Chennai,Apartment,Premium,Yes,No,Fitness
U0064,46-55,Male,Working Professional,Delhi,Independent House,Mid-Range,Yes,No,Entertainment
U0065,55+,Female,Homemaker,Pune,Apartment,Mid-Range,No,Yes,Entertainment
U0066,36-45,Male,Retired,Chennai,Independent House,Mid-Range,No,No,Power
U0067,46-55,Female,Homemaker,Hyderabad,Independent House,Premium,No,No,Networking
U0068,26-35,Female,Working Professional,Lucknow,PG/Hostel,Premium,No,No,Laundry
U0069,46-55,Female,Business Owner,Bangalore,Independent House,Premium,No,Yes,Smart Home
U0070,46-55,Female,Homemaker,Hyderabad,PG/Hostel,Premium,Yes,No,Hobby
U0071,46-55,Male,Working Professional,Mumbai,Apartment,Premium,No,Yes,Cleaning
U0072,36-45,Male,Student,Chennai,Independent House,Mid-Range,No,No,Laundry
U0073,26-35,Male,Homemaker,Hyderabad,Apartment,Mid-Range,Yes,Yes,Kitchen
U0074,46-55,Male,Working Professional,Pune,Independent House,Premium,Yes,Yes,Smart Home
U0075,46-55,Female,Working Professional,Delhi,Apartment,Mid-Range,No,Yes,Decor
U0076,18-25,Female,Working Professional,Delhi,Independent House,Mid-Range,Yes,Yes,Smart Home
U0077,36-45,Female,Retired,Lucknow,Apartment,Premium,No,Yes,Tools
U0078,46-55,Male,Working Professional,Mumbai,Apartment,Premium,No,Yes,Tools
U0079,18-25,Female,Retired,Kolkata,Independent House,Premium,Yes,Yes,Smart Home
U0080,26-35,Male,Student,Delhi,Apartment,Mid-Range,No,Yes,Outdoor
U0081,36-45,Female,Homemaker,Pune,Apartment,Premium,No,Yes,Entertainment
U0082,55+,Female,Homemaker,Kolkata,Independent House,Mid-Range,No,No,Personal Care
U0083,26-35,Male,Working Professional,Kolkata,PG/Hostel,Premium,Yes,Yes,Outdoor
U0084,18-25,Male,Student,Kolkata,Apartment,Budget,No,Yes,Smart Home
U0085,46-55,Male,Homemaker,Ahmedabad,Apartment,Premium,No,Yes,Climate
U0086,26-35,Male,Working Professional,Delhi,Apartment,Mid-Range,Yes,No,Smart Home
U0087,26-35,Female,Homemaker,Hyderabad,Apartment,Mid-Range,No,Yes,Tools
U0088,26-35,Female,Homemaker,Mumbai,PG/Hostel,Mid-Range,Yes,No,Kitchen
U0089,36-45,Male,Student,Kolkata,Independent House,Mid-Range,No,No,Pet
U0090,18-25,Female,Homemaker,Kolkata,Independent House,Premium,Yes,Yes,Security
U0091,26-35,Male,Homemaker,Kolkata,Independent House,Mid-Range,Yes,No,Bathroom
U0092,55+,Other,Working Professional,Mumbai,Villa,Premium,Yes,No,Hobby
U0093,18-25,Male,Student,Bangalore,Apartment,Mid-Range,No,Yes,Smart Home
U0094,18-25,Male,Homemaker,Lucknow,Apartment,Premium,No,No,Fitness
U0095,46-55,Female,Student,Bangalore,Apartment,Mid-Range,No,No,Decor
U0096,18-25,Female,Homemaker,Chennai,PG/Hostel,Mid-Range,No,Yes,Laundry
U0097,36-45,Male,Business Owner,Ahmedabad,Apartment,Luxury,Yes,Yes,Decor
U0098,46-55,Other,Business Owner,Pune,Apartment,Luxury,No,Yes,Entertainment
U0099,26-35,Male,Homemaker,Kolkata,Villa,Mid-Range,No,No,Kitchen
U0100,46-55,Female,Working Professional,Kolkata,PG/Hostel,Premium,Yes,No,Power
U0101,18-25,Female,Business Owner,Kolkata,PG/Hostel,Premium,Yes,No,Security
U0102,26-35,Male,Business Owner,Ahmedabad,Apartment,Luxury,Yes,Yes,Pet
U0103,55+,Male,Student,Jaipur,Villa,Mid-Range,No,No,Laundry
U0104,55+,Female,Working Professional,Hyderabad,Apartment,Premium,Yes,No,Pet
U0105,26-35,Female,Working Professional,Kolkata,PG/Hostel,Premium,No,No,Entertainment
U0106,46-55,Male,Business Owner,Kolkata,Independent House,Premium,Yes,No,Kitchen
U0107,18-25,Male,Working Professional,Bangalore,PG/Hostel,Premium,No,Yes,Decor
U0108,26-35,Male,Student,Pune,PG/Hostel,Mid-Range,Yes,Yes,Pet
U0109,36-45,Male,Student,Kolkata,Independent House,Mid-Range,Yes,Yes,Security
U0110,18-25,Female,Business Owner,Pune,Apartment,Premium,Yes,Yes,Power
U0111,18-25,Male,Retired,Hyderabad,Apartment,Mid-Range,Yes,Yes,Entertainment
U0112,46-55,Other,Retired,Bangalore,PG/Hostel,Mid-Range,No,Yes,Tools
U0113,26-35,Female,Student,Chennai,Independent House,Mid-Range,No,Yes,Hobby
U0114,26-35,Male,Business Owner,Chennai,Independent House,Premium,Yes,Yes,Outdoor
U0115,18-25,Male,Working Professional,Kolkata,Apartment,Premium,No,Yes,Laundry
U0116,18-25,Female,Homemaker,Chennai,Independent House,Mid-Range,No,Yes,Hobby
U0117,55+,Male,Working Professional,Pune,PG/Hostel,Mid-Range,Yes,No,Kitchen
U0118,26-35,Male,Retired,Pune,Villa,Luxury,Yes,Yes,Climate
U0119,18-25,Female,Business Owner,Kolkata,Villa,Premium,No,Yes,Cleaning
U0120,18-25,Other,Working Professional,Kolkata,Independent House,Mid-Range,Yes,Yes,Decor
U0121,36-45,Male,Homemaker,Ahmedabad,Independent House,Premium,No,No,Decor
U0122,36-45,Male,Business Owner,Hyderabad,Apartment,Luxury,No,Yes,Cleaning
U0123,55+,Male,Business Owner,Ahmedabad,Independent House,Premium,Yes,No,Smart Home
U0124,26-35,Male,Working Professional,Ahmedabad,Apartment,Mid-Range,No,Yes,Tools
U0125,36-45,Other,Student,Chennai,Villa,Mid-Range,Yes,No,Decor
U0126,36-45,Male,Working Professional,Jaipur,PG/Hostel,Mid-Range,No,Yes,Fitness
U0127,36-45,Female,Student,Jaipur,PG/Hostel,Mid-Range,No,No,Climate
U0128,55+,Female,Homemaker,Mumbai,Apartment,Premium,Yes,Yes,Laundry
U0129,55+,Male,Business Owner,Lucknow,Apartment,Luxury,Yes,No,Networking
U0130,26-35,Other,Business Owner,Jaipur,Apartment,Luxury,Yes,No,Decor
U0131,36-45,Other,Working Professional,Chennai,PG/Hostel,Premium,Yes,No,Smart Home
U0132,46-55,Male,Working Professional,Jaipur,Apartment,Mid-Range,No,No,Tools
U0133,18-25,Female,Business Owner,Ahmedabad,Villa,Premium,Yes,Yes,Bathroom
U0134,55+,Female,Working Professional,Delhi,Villa,Premium,No,Yes,Networking
U0135,46-55,Male,Working Professional,Chennai,Apartment,Mid-Range,Yes,No,Decor
U0136,55+,Male,Homemaker,Mumbai,Independent House,Mid-Range,No,No,Entertainment
U0137,36-45,Male,Working Professional,Delhi,Independent House,Premium,No,No,Climate
U0138,36-45,Female,Homemaker,Ahmedabad,PG/Hostel,Premium,Yes,No,Decor
U0139,36-45,Female,Working Professional,Delhi,Apartment,Premium,No,Yes,Kitchen
U0140,18-25,Female,Student,Bangalore,Independent House,Budget,Yes,Yes,Outdoor
U0141,36-45,Male,Working Professional,Hyderabad,Apartment,Mid-Range,Yes,No,Laundry
U0142,26-35,Male,Homemaker,Ahmedabad,Apartment,Premium,No,Yes,Fitness
U0143,55+,Female,Working Professional,Lucknow,PG/Hostel,Premium,Yes,No,Hobby
U0144,26-35,Female,Homemaker,Hyderabad,Villa,Mid-Range,Yes,Yes,Laundry
U0145,18-25,Female,Retired,Jaipur,Apartment,Mid-Range,Yes,Yes,Cleaning
U0146,26-35,Female,Retired,Lucknow,Apartment,Luxury,No,Yes,Outdoor
U0147,36-45,Male,Working Professional,Ahmedabad,Apartment,Premium,Yes,Yes,Decor
U0148,18-25,Male,Student,Kolkata,Independent House,Budget,Yes,Yes,Entertainment
U0149,18-25,Female,Working Professional,Bangalore,Independent House,Premium,Yes,Yes,Outdoor
U0150,36-45,Male,Student,Ahmedabad,Apartment,Mid-Range,Yes,No,Pet
U0151,18-25,Male,Working Professional,Jaipur,Apartment,Premium,Yes,Yes,Power
U0152,18-25,Male,Working Professional,Pune,Apartment,Premium,Yes,Yes,Laundry
U0153,36-45,Male,Homemaker,Chennai,PG/Hostel,Mid-Range,No,No,Personal Care
U0154,36-45,Female,Student,Jaipur,Villa,Mid-Range,No,No,Personal Care
U0155,18-25,Female,Working Professional,Ahmedabad,Independent House,Premium,No,Yes,Fitness
U0156,18-25,Male,Working Professional,Pune,Independent House,Premium,Yes,No,Smart Home
U0157,36-45,Male,Working Professional,Ahmedabad,Independent House,Premium,Yes,No,Power
U0158,18-25,Female,Working Professional,Delhi,PG/Hostel,Premium,Yes,Yes,Pet
U0159,36-45,Male,Working Professional,Jaipur,Apartment,Mid-Range,Yes,Yes,Bathroom
U0160,36-45,Male,Working Professional,Lucknow,Apartment,Premium,No,No,Power
U0161,18-25,Male,Working Professional,Chennai,Apartment,Mid-Range,Yes,No,Cleaning
U0162,18-25,Female,Business Owner,Delhi,Independent House,Luxury,Yes,Yes,Laundry
U0163,46-55,Male,Working Professional,Chennai,Independent House,Mid-Range,Yes,No,Kitchen
U0164,36-45,Male,Homemaker,Delhi,Apartment,Mid-Range,No,Yes,Entertainment
U0165,26-35,Female,Working Professional,Chennai,Independent House,Premium,Yes,Yes,Climate
U0166,26-35,Female,Retired,Hyderabad,Apartment,Premium,No,Yes,Tools
U0167,18-25,Male,Student,Delhi,Apartment,Budget,Yes,No,Fitness
U0168,18-25,Male,Working Professional,Jaipur,PG/Hostel,Premium,Yes,Yes,Outdoor
U0169,18-25,Male,Working Professional,Bangalore,Villa,Premium,Yes,Yes,Smart Home
U0170,18-25,Other,Working Professional,Ahmedabad,PG/Hostel,Premium,No,No,Laundry
U0171,46-55,Male,Working Professional,Hyderabad,Independent House,Premium,No,No,Smart Home
U0172,55+,Female,Working Professional,Kolkata,Apartment,Premium,Yes,No,Entertainment
U0173,46-55,Male,Working Professional,Mumbai,Apartment,Premium,Yes,No,Smart Home
U0174,36-45,Male,Working Professional,Ahmedabad,Independent House,Mid-Range,Yes,No,Security
U0175,26-35,Male,Homemaker,Kolkata,Independent House,Mid-Range,No,No,Kitchen
U0176,36-45,Male,Student,Chennai,Apartment,Mid-Range,Yes,No,Kitchen
U0177,18-25,Male,Retired,Jaipur,PG/Hostel,Premium,No,Yes,Climate
U0178,26-35,Female,Homemaker,Lucknow,Independent House,Mid-Range,Yes,Yes,Outdoor
U0179,26-35,Male,Working Professional,Delhi,Villa,Mid-Range,Yes,Yes,Hobby
U0180,46-55,Male,Retired,Bangalore,Independent House,Premium,No,No,Power
U0181,55+,Male,Working Professional,Mumbai,Independent House,Premium,Yes,No,Entertainment
U0182,36-45,Male,Business Owner,Jaipur,PG/Hostel,Premium,Yes,No,Personal Care
U0183,26-35,Male,Student,Bangalore,PG/Hostel,Budget,Yes,No,Laundry
U0184,36-45,Male,Working Professional,Lucknow,PG/Hostel,Premium,Yes,Yes,Decor
U0185,26-35,Male,Business Owner,Chennai,Apartment,Luxury,No,No,Cleaning
U0186,26-35,Female,Working Professional,Jaipur,Independent House,Premium,Yes,Yes,Networking
U0187,26-35,Male,Business Owner,Kolkata,Independent House,Luxury,No,Yes,Outdoor
U0188,55+,Male,Homemaker,Kolkata,Villa,Mid-Range,No,Yes,Pet
U0189,36-45,Male,Working Professional,Lucknow,PG/Hostel,Premium,Yes,No,Security
U0190,36-45,Female,Working Professional,Chennai,PG/Hostel,Premium,Yes,No,Power
U0191,18-25,Male,Working Professional,Chennai,Independent House,Premium,No,Yes,Networking
U0192,18-25,Female,Working Professional,Hyderabad,PG/Hostel,Mid-Range,Yes,Yes,Entertainment
U0193,26-35,Male,Business Owner,Mumbai,PG/Hostel,Premium,Yes,Yes,Networking
U0194,18-25,Female,Working Professional,Delhi,Apartment,Mid-Range,No,Yes,Fitness
U0195,26-35,Female,Homemaker,Hyderabad,Independent House,Mid-Range,Yes,Yes,Networking
U0196,36-45,Male,Working Professional,Bangalore,Apartment,Premium,Yes,No,Climate
U0197,18-25,Female,Business Owner,Pune,Apartment,Luxury,No,Yes,Kitchen
U0198,26-35,Male,Retired,Hyderabad,Independent House,Mid-Range,No,No,Pet
U0199,36-45,Male,Homemaker,Delhi,PG/Hostel,Premium,No,Yes,Hobby
U0200,55+,Female,Working Professional,Pune,Villa,Premium,Yes,No,Pet
U0201,36-45,Female,Student,Delhi,Independent House,Mid-Range,No,Yes,Smart Home
U0202,26-35,Female,Homemaker,Delhi,Villa,Mid-Range,No,Yes,Outdoor
U0203,26-35,Other,Student,Delhi,PG/Hostel,Mid-Range,Yes,No,Outdoor
U0204,18-25,Female,Retired,Delhi,Independent House,Premium,Yes,No,Entertainment
U0205,36-45,Male,Working Professional,Ahmedabad,Apartment,Premium,Yes,No,Fitness
U0206,46-55,Male,Student,Kolkata,Apartment,Budget,No,No,Fitness
U0207,36-45,Male,Business Owner,Mumbai,Apartment,Luxury,No,Yes,Cleaning
U0208,36-45,Male,Working Professional,Pune,Independent House,Mid-Range,Yes,No,Networking
U0209,18-25,Female,Student,Kolkata,Apartment,Budget,Yes,No,Cleaning
U0210,55+,Female,Working Professional,Hyderabad,Independent House,Mid-Range,Yes,No,Security
U0211,18-25,Male,Homemaker,Pune,Villa,Mid-Range,Yes,Yes,Tools
U0212,18-25,Male,Working Professional,Jaipur,Villa,Mid-Range,Yes,Yes,Laundry
U0213,36-45,Male,Homemaker,Bangalore,Independent House,Premium,No,No,Decor
U0214,26-35,Male,Business Owner,Bangalore,Apartment,Premium,Yes,No,Hobby
U0215,18-25,Female,Working Professional,Bangalore,Apartment,Mid-Range,Yes,No,Laundry
U0216,46-55,Female,Working Professional,Mumbai,Apartment,Premium,Yes,Yes,Fitness
U0217,26-35,Male,Working Professional,Delhi,Apartment,Mid-Range,Yes,No,Bathroom
U0218,46-55,Male,Retired,Delhi,Apartment,Luxury,No,Yes,Power
U0219,36-45,Male,Working Professional,Ahmedabad,Apartment,Premium,Yes,Yes,Climate
U0220,36-45,Male,Homemaker,Kolkata,Apartment,Premium,No,Yes,Cleaning
U0221,26-35,Male,Homemaker,Delhi,Apartment,Mid-Range,Yes,Yes,Entertainment
U0222,46-55,Female,Student,Lucknow,Apartment,Mid-Range,No,No,Smart Home
U0223,18-25,Female,Working Professional,Lucknow,PG/Hostel,Premium,Yes,Yes,Fitness
U0224,46-55,Female,Working Professional,Delhi,Apartment,Mid-Range,No,No,Tools
U0225,26-35,Male,Business Owner,Ahmedabad,Apartment,Luxury,No,Yes,Cleaning
U0226,26-35,Male,Student,Kolkata,Independent House,Mid-Range,No,Yes,Smart Home
U0227,26-35,Female,Business Owner,Pune,Apartment,Luxury,No,No,Climate
U0228,26-35,Female,Working Professional,Delhi,Apartment,Mid-Range,No,Yes,Hobby
U0229,36-45,Female,Working Professional,Bangalore,Apartment,Premium,Yes,No,Smart Home
U0230,26-35,Female,Retired,Delhi,Apartment,Luxury,No,No,Fitness
U0231,46-55,Female,Working Professional,Chennai,PG/Hostel,Mid-Range,Yes,Yes,Bathroom
U0232,26-35,Male,Student,Bangalore,Independent House,Budget,No,Yes,Hobby
U0233,36-45,Male,Working Professional,Jaipur,PG/Hostel,Premium,Yes,No,Laundry
U0234,55+,Male,Working Professional,Jaipur,Apartment,Premium,No,No,Security
U0235,18-25,Male,Business Owner,Mumbai,Independent House,Luxury,Yes,No,Outdoor
U0236,26-35,Female,Working Professional,Pune,PG/Hostel,Premium,Yes,No,Pet
U0237,26-35,Male,Student,Bangalore,Villa,Budget,No,No,Kitchen
U0238,46-55,Female,Homemaker,Kolkata,Independent House,Mid-Range,No,Yes,Networking
U0239,18-25,Male,Business Owner,Pune,Apartment,Luxury,No,Yes,Kitchen
U0240,36-45,Male,Student,Bangalore,Independent House,Budget,Yes,No,Kitchen
U0241,18-25,Male,Homemaker,Ahmedabad,Apartment,Premium,No,Yes,Cleaning
U0242,26-35,Female,Working Professional,Chennai,Apartment,Premium,Yes,Yes,Networking
U0243,36-45,Female,Working Professional,Delhi,Villa,Premium,Yes,No,Climate
U0244,36-45,Male,Working Professional,Mumbai,Apartment,Premium,Yes,No,Power
U0245,36-45,Female,Student,Hyderabad,Independent House,Budget,Yes,Yes,Entertainment
U0246,26-35,Male,Homemaker,Chennai,Apartment,Premium,Yes,Yes,Fitness
U0247,36-45,Female,Working Professional,Bangalore,Apartment,Mid-Range,Yes,No,Bathroom
U0248,26-35,Female,Business Owner,Delhi,Independent House,Luxury,Yes,No,Fitness
U0249,26-35,Male,Homemaker,Ahmedabad,Apartment,Mid-Range,No,No,Fitness
U0250,55+,Female,Student,Kolkata,Apartment,Mid-Range,Yes,No,Smart Home
U0251,18-25,Female,Working Professional,Lucknow,Independent House,Mid-Range,Yes,Yes,Networking
U0252,46-55,Female,Homemaker,Kolkata,PG/Hostel,Mid-Range,No,Yes,Pet
U0253,26-35,Male,Working Professional,Kolkata,Villa,Mid-Range,No,No,Laundry
U0254,55+,Female,Student,Bangalore,Villa,Mid-Range,Yes,No,Bathroom
U0255,18-25,Female,Working Professional,Pune,Apartment,Mid-Range,Yes,No,Entertainment
U0256,36-45,Female,Working Professional,Delhi,Villa,Mid-Range,Yes,Yes,Entertainment
U0257,55+,Female,Working Professional,Bangalore,PG/Hostel,Mid-Range,No,No,Cleaning
U0258,26-35,Male,Business Owner,Lucknow,Independent House,Luxury,No,No,Smart Home
U0259,26-35,Male,Student,Bangalore,Independent House,Mid-Range,Yes,Yes,Outdoor
U0260,26-35,Male,Homemaker,Lucknow,Apartment,Premium,Yes,Yes,Outdoor
U0261,36-45,Male,Business Owner,Ahmedabad,Independent House,Luxury,Yes,Yes,Outdoor
U0262,46-55,Male,Homemaker,Delhi,Apartment,Mid-Range,No,No,Cleaning
U0263,46-55,Female,Student,Ahmedabad,Independent House,Budget,No,No,Tools
U0264,55+,Other,Business Owner,Lucknow,Apartment,Luxury,Yes,Yes,Power
U0265,46-55,Male,Working Professional,Delhi,Independent House,Premium,No,No,Kitchen
U0266,46-55,Female,Retired,Bangalore,Apartment,Luxury,Yes,No,Cleaning
U0267,26-35,Male,Homemaker,Pune,Apartment,Mid-Range,Yes,Yes,Fitness
U0268,26-35,Male,Working Professional,Lucknow,Apartment,Premium,Yes,Yes,Smart Home
U0269,18-25,Other,Student,Pune,Apartment,Budget,Yes,Yes,Outdoor
U0270,26-35,Male,Homemaker,Lucknow,Villa,Premium,No,Yes,Entertainment
U0271,46-55,Male,Student,Chennai,PG/Hostel,Mid-Range,No,No,Pet
U0272,55+,Female,Working Professional,Lucknow,Apartment,Mid-Range,No,Yes,Pet
U0273,55+,Female,Working Professional,Bangalore,Independent House,Premium,Yes,No,Bathroom
U0274,36-45,Male,Working Professional,Kolkata,Apartment,Mid-Range,Yes,Yes,Outdoor
U0275,26-35,Female,Working Professional,Hyderabad,Apartment,Mid-Range,Yes,No,Tools
U0276,18-25,Female,Retired,Bangalore,Villa,Mid-Range,Yes,Yes,Hobby
U0277,55+,Male,Student,Pune,PG/Hostel,Budget,No,No,Pet
U0278,36-45,Female,Student,Bangalore,Apartment,Budget,Yes,No,Personal Care
U0279,26-35,Female,Working Professional,Mumbai,Independent House,Premium,Yes,No,Laundry
U0280,18-25,Male,Business Owner,Lucknow,Apartment,Luxury,Yes,No,Cleaning
U0281,46-55,Female,Retired,Jaipur,PG/Hostel,Mid-Range,Yes,No,Climate
U0282,36-45,Male,Working Professional,Pune,Apartment,Mid-Range,Yes,No,Cleaning
U0283,26-35,Female,Working Professional,Chennai,Independent House,Premium,No,Yes,Fitness
U0284,18-25,Female,Working Professional,Hyderabad,Apartment,Mid-Range,No,Yes,Decor
U0285,46-55,Female,Working Professional,Ahmedabad,Independent House,Mid-Range,No,No,Hobby
U0286,46-55,Female,Working Professional,Chennai,Independent House,Mid-Range,Yes,Yes,Cleaning
U0287,26-35,Female,Business Owner,Kolkata,Independent House,Premium,Yes,No,Cleaning
U0288,46-55,Female,Business Owner,Mumbai,PG/Hostel,Luxury,Yes,Yes,Networking
U0289,36-45,Female,Homemaker,Kolkata,PG/Hostel,Mid-Range,No,Yes,Security
U0290,18-25,Female,Business Owner,Delhi,Apartment,Luxury,No,Yes,Entertainment
U0291,46-55,Male,Student,Mumbai,Independent House,Budget,Yes,No,Entertainment
U0292,18-25,Female,Business Owner,Ahmedabad,Independent House,Luxury,No,No,Security
U0293,18-25,Female,Working Professional,Hyderabad,Villa,Premium,No,Yes,Bathroom
U0294,36-45,Female,Working Professional,Delhi,Independent House,Premium,No,Yes,Hobby
U0295,46-55,Female,Student,Hyderabad,Independent House,Budget,Yes,No,Cleaning
U0296,55+,Female,Working Professional,Delhi,Villa,Mid-Range,No,No,Security
U0297,18-25,Female,Retired,Jaipur,Apartment,Luxury,No,No,Outdoor
U0298,26-35,Male,Homemaker,Mumbai,Independent House,Premium,No,Yes,Fitness
U0299,26-35,Male,Homemaker,Delhi,PG/Hostel,Mid-Range,No,Yes,Bathroom
U0300,55+,Female,Retired,Jaipur,Apartment,Luxury,No,No,Security
U0301,46-55,Male,Student,Ahmedabad,Apartment,Mid-Range,Yes,Yes,Networking
U0302,26-35,Female,Homemaker,Mumbai,Apartment,Premium,Yes,Yes,Laundry
U0303,26-35,Male,Retired,Delhi,Independent House,Luxury,No,No,Smart Home
U0304,18-25,Female,Business Owner,Mumbai,Apartment,Premium,Yes,Yes,Personal Care
U0305,18-25,Female,Homemaker,Ahmedabad,Apartment,Premium,No,No,Kitchen
U0306,55+,Male,Student,Mumbai,Villa,Mid-Range,Yes,Yes,Tools
U0307,26-35,Male,Homemaker,Pune,Apartment,Mid-Range,No,Yes,Climate
U0308,55+,Female,Working Professional,Mumbai,Apartment,Premium,No,Yes,Networking
U0309,26-35,Female,Student,Pune,Apartment,Budget,Yes,No,Fitness
U0310,46-55,Other,Working Professional,Ahmedabad,Apartment,Premium,No,Yes,Personal Care
U0311,46-55,Female,Homemaker,Ahmedabad,PG/Hostel,Premium,Yes,No,Decor
U0312,46-55,Male,Homemaker,Kolkata,Apartment,Mid-Range,Yes,No,Personal Care
U0313,55+,Female,Homemaker,Pune,Independent House,Premium,Yes,Yes,Outdoor
U0314,18-25,Female,Student,Ahmedabad,Apartment,Mid-Range,No,Yes,Cleaning
